packagename,flags,params
7zip,,
choco-upgrade-all-at,,"""/WEEKLY:yes /DAY:SUN /TIME:02:00 /ABORTTIME:04:00"""
everything,,
git-credential-manager-for-windows,,
git,"""-y""","""/GitAndUnixToolsOnPath"""
gitextensions,,
googlechrome,,
keypirinha,,
microsoft-teams,,
procexp,,
screentogif,,
sourcetree,,
spotify,"""--ignorechecksum""",
vscode,"""--pre""","""/NoDesktopIcon /NoQuicklaunchIcon"""
